source,date,year,title,letterboxd_uri,rating,rewatch,review,tags,watched_date,content,comment
ratings,2022-09-01,2022,American Psycho,https://boxd.it/28Vs,4,,,,,,
ratings,2022-09-03,2022,Thiruchitrambalam,https://boxd.it/wptK,3.5,,,,,,
ratings,2022-09-04,2022,Gulu Gulu,https://boxd.it/AyUS,3,,,,,,
ratings,2022-09-07,2022,Maanaadu,https://boxd.it/ju24,3.5,,,,,,
diary,2022-09-18,2022,D Block,https://boxd.it/3ezRBp,2.5,,,,2022-09-18,,
ratings,2022-09-18,2022,D Block,https://boxd.it/wGv4,2.5,,,,,,
diary,2022-09-27,2022,Bullet Train,https://boxd.it/3gsAWf,3.5,,,,2022-09-27,,
ratings,2022-09-27,2022,Bullet Train,https://boxd.it/qW26,3.5,,,,,,
diary,2022-09-28,2022,Vendhu Thanindhathu Kaadu,https://boxd.it/3gF0Ov,3.5,,,,2022-09-28,,
ratings,2022-09-28,2022,Vendhu Thanindhathu Kaadu,https://boxd.it/u8ki,3.5,,,,,,
diary,2022-10-02,2022,Cobra,https://boxd.it/3hgQKJ,2.5,,,,2022-10-01,,
diary,2022-10-02,2022,Malena,https://boxd.it/3hj7gl,3.5,,,,2022-10-01,,
diary,2022-10-02,2022,Naane Varuvean,https://boxd.it/3huRLr,3.5,,,,2022-10-02,,
ratings,2022-10-02,2022,Cobra,https://boxd.it/tPXq,2.5,,,,,,
ratings,2022-10-02,2022,Malena,https://boxd.it/1Vc0,3.5,,,,,,
ratings,2022-10-02,2022,Naane Varuvean,https://boxd.it/txW0,3.5,,,,,,
diary,2022-10-03,2022,The Worst Person in the World,https://boxd.it/3hxRoN,4,,,,2022-10-02,,
ratings,2022-10-03,2022,The Worst Person in the World,https://boxd.it/oyws,4,,,,,,
diary,2022-10-04,2022,X+Y,https://boxd.it/3hNAyt,3.5,,,,2022-10-03,,
ratings,2022-10-04,2022,X+Y,https://boxd.it/8uC0,3.5,,,,,,
diary,2022-10-05,2022,Ponniyin Selvan: Part I,https://boxd.it/3i857X,3,,,,2022-10-05,,
ratings,2022-10-05,2022,Ponniyin Selvan: Part I,https://boxd.it/oz24,3,,,,,,
diary,2022-10-09,2022,One Cut of the Dead,https://boxd.it/3iNXHd,4,,,,2022-10-08,,
diary,2022-10-09,2022,Dogtooth,https://boxd.it/3iPmSn,3.5,,,,2022-10-08,,
ratings,2022-10-09,2022,One Cut of the Dead,https://boxd.it/iAFu,4,,,,,,
ratings,2022-10-09,2022,Dogtooth,https://boxd.it/158K,3.5,,,,,,
diary,2022-10-14,2022,The Bow,https://boxd.it/3jU1nH,3.5,,,,2022-10-13,,
diary,2022-10-14,2022,Speak No Evil,https://boxd.it/3jVf1H,3,,,,2022-10-14,,
ratings,2022-10-14,2022,The Bow,https://boxd.it/27Ky,3.5,,,,,,
ratings,2022-10-14,2022,Speak No Evil,https://boxd.it/vqlg,3,,,,,,
diary,2022-10-16,2022,Sita Ramam,https://boxd.it/3kl9EP,3.5,,,,2022-10-15,,
ratings,2022-10-16,2022,Sita Ramam,https://boxd.it/xO2c,3.5,,,,,,
diary,2022-10-19,2022,[REC],https://boxd.it/3l2S4X,3.5,,,,2022-10-19,,
ratings,2022-10-19,2022,[REC],https://boxd.it/20ma,3.5,,,,,,
diary,2022-10-30,2022,Babel,https://boxd.it/3nsuih,3.5,,,,2022-10-30,,
ratings,2022-10-30,2022,Babel,https://boxd.it/292o,3.5,,,,,,
diary,2022-11-10,2022,Collateral,https://boxd.it/3pJ3JR,3.5,,,,2022-11-09,,
ratings,2022-11-10,2022,Collateral,https://boxd.it/28F0,3.5,,,,,,
diary,2022-11-13,2022,Sardar,https://boxd.it/3qtyq9,3,,,,2022-11-13,,
ratings,2022-11-13,2022,Sardar,https://boxd.it/wpuI,3,,,,,,
diary,2022-11-18,2022,Prey,https://boxd.it/3rmagf,3.5,Yes,,,2022-11-17,,
ratings,2022-11-18,2022,Prey,https://boxd.it/sNBU,3.5,,,,,,
diary,2022-11-19,2022,Love Today,https://boxd.it/3ryq1T,2.5,,,,2022-11-18,,
ratings,2022-11-19,2022,Love Today,https://boxd.it/D3KI,2.5,,,,,,
diary,2022-11-20,2022,Good Will Hunting,https://boxd.it/3rKOVZ,3.5,,,,2022-11-19,,
ratings,2022-11-20,2022,Good Will Hunting,https://boxd.it/2ahY,3.5,,,,,,
diary,2022-11-22,2022,The Grand Budapest Hotel,https://boxd.it/3sdMT1,4,,,,2022-11-21,,
ratings,2022-11-22,2022,The Grand Budapest Hotel,https://boxd.it/3ZqO,4,,,,,,
diary,2022-11-23,2022,Silver Linings Playbook,https://boxd.it/3spSuZ,3.5,,,,2022-11-22,,
ratings,2022-11-23,2022,Silver Linings Playbook,https://boxd.it/2TTo,3.5,,,,,,
diary,2022-11-29,2022,Natchathiram Nagargiradhu,https://boxd.it/3tI8ZJ,3.5,,,,2022-11-28,,
ratings,2022-11-29,2022,Natchathiram Nagargiradhu,https://boxd.it/wkx8,3.5,,,,,,
diary,2022-11-30,2022,Titanic,https://boxd.it/3u2JXl,3.5,Yes,,,2022-11-30,,
diary,2022-11-30,2022,Donnie Darko,https://boxd.it/3u3H2T,3.5,,,,2022-11-30,,
ratings,2022-11-30,2022,Titanic,https://boxd.it/2a2k,3.5,,,,,,
ratings,2022-11-30,2022,Donnie Darko,https://boxd.it/2b2A,3.5,,,,,,
diary,2022-12-01,2022,Nope,https://boxd.it/3u50HN,4,,,,2022-11-30,,
diary,2022-12-01,2022,127 Hours,https://boxd.it/3u50Tf,3,,,,2022-11-30,,
ratings,2022-12-01,2022,Nope,https://boxd.it/sDCe,4,,,,,,
ratings,2022-12-01,2022,127 Hours,https://boxd.it/SLa,3,,,,,,
diary,2022-12-03,2022,Psycho,https://boxd.it/3uBBen,4,Yes,,,2022-12-03,,
ratings,2022-12-03,2022,Psycho,https://boxd.it/2ab2,4,,,,,,
diary,2022-12-04,2022,3-Iron,https://boxd.it/3uRmW7,4,Yes,,,2022-12-04,,
ratings,2022-12-04,2022,3-Iron,https://boxd.it/28WK,4,,,,,,
diary,2022-12-09,2022,The Autopsy of Jane Doe,https://boxd.it/3vSFg1,3,,,,2022-12-09,,
ratings,2022-12-09,2022,The Autopsy of Jane Doe,https://boxd.it/dUu2,3,,,,,,
diary,2022-12-10,2022,Castaway on the Moon,https://boxd.it/3vT7wr,3.5,,,,2022-12-09,,
ratings,2022-12-10,2022,Castaway on the Moon,https://boxd.it/1GXU,3.5,,,,,,
diary,2022-12-12,2022,The Secret Life of Walter Mitty,https://boxd.it/3wAhCl,3.5,,,,2022-12-12,,
ratings,2022-12-12,2022,The Secret Life of Walter Mitty,https://boxd.it/3SWy,3.5,,,,,,
diary,2022-12-13,2022,Before Sunrise,https://boxd.it/3wDh9z,3.5,,,,2022-12-12,,
ratings,2022-12-13,2022,Before Sunrise,https://boxd.it/2bcU,3.5,,,,,,
