Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-18,D Block,2022,https://boxd.it/3ezRBp,2.5,,,2022-09-18
2022-09-27,Bullet Train,2022,https://boxd.it/3gsAWf,3.5,,,2022-09-27
2022-09-28,Vendhu Thanindhathu Kaadu,2022,https://boxd.it/3gF0Ov,3.5,,,2022-09-28
2022-10-02,Cobra,2022,https://boxd.it/3hgQKJ,2.5,,,2022-10-01
2022-10-02,Malena,2000,https://boxd.it/3hj7gl,3.5,,,2022-10-01
2022-10-02,Naane Varuvean,2022,https://boxd.it/3huRLr,3.5,,,2022-10-02
2022-10-03,The Worst Person in the World,2021,https://boxd.it/3hxRoN,4,,,2022-10-02
2022-10-04,X+Y,2014,https://boxd.it/3hNAyt,3.5,,,2022-10-03
2022-10-05,Ponniyin Selvan: Part I,2022,https://boxd.it/3i857X,3,,,2022-10-05
2022-10-09,One Cut of the Dead,2017,https://boxd.it/3iNXHd,4,,,2022-10-08
2022-10-09,Dogtooth,2009,https://boxd.it/3iPmSn,3.5,,,2022-10-08
2022-10-14,The Bow,2005,https://boxd.it/3jU1nH,3.5,,,2022-10-13
2022-10-14,Speak No Evil,2022,https://boxd.it/3jVf1H,3,,,2022-10-14
2022-10-16,Sita Ramam,2022,https://boxd.it/3kl9EP,3.5,,,2022-10-15
2022-10-19,[REC],2007,https://boxd.it/3l2S4X,3.5,,,2022-10-19
2022-10-30,Babel,2006,https://boxd.it/3nsuih,3.5,,,2022-10-30
2022-11-10,Collateral,2004,https://boxd.it/3pJ3JR,3.5,,,2022-11-09
2022-11-13,Sardar,2022,https://boxd.it/3qtyq9,3,,,2022-11-13
2022-11-18,Prey,2022,https://boxd.it/3rmagf,3.5,Yes,,2022-11-17
2022-11-19,Love Today,2022,https://boxd.it/3ryq1T,2.5,,,2022-11-18
2022-11-20,Good Will Hunting,1997,https://boxd.it/3rKOVZ,3.5,,,2022-11-19
2022-11-22,The Grand Budapest Hotel,2014,https://boxd.it/3sdMT1,4,,,2022-11-21
2022-11-23,Silver Linings Playbook,2012,https://boxd.it/3spSuZ,3.5,,,2022-11-22
2022-11-29,Natchathiram Nagargiradhu,2022,https://boxd.it/3tI8ZJ,3.5,,,2022-11-28
2022-11-30,Titanic,1997,https://boxd.it/3u2JXl,3.5,Yes,,2022-11-30
2022-11-30,Donnie Darko,2001,https://boxd.it/3u3H2T,3.5,,,2022-11-30
2022-12-01,Nope,2022,https://boxd.it/3u50HN,4,,,2022-11-30
2022-12-01,127 Hours,2010,https://boxd.it/3u50Tf,3,,,2022-11-30
2022-12-03,Psycho,1960,https://boxd.it/3uBBen,4,Yes,,2022-12-03
2022-12-04,3-Iron,2004,https://boxd.it/3uRmW7,4,Yes,,2022-12-04
2022-12-09,The Autopsy of Jane Doe,2016,https://boxd.it/3vSFg1,3,,,2022-12-09
2022-12-10,Castaway on the Moon,2009,https://boxd.it/3vT7wr,3.5,,,2022-12-09
2022-12-12,The Secret Life of Walter Mitty,2013,https://boxd.it/3wAhCl,3.5,,,2022-12-12
2022-12-13,Before Sunrise,1995,https://boxd.it/3wDh9z,3.5,,,2022-12-12
2022-12-17,Parched,2015,https://boxd.it/3xsbg7,3.5,,,2022-12-16
2022-12-17,Avatar,2009,https://boxd.it/3xvLnp,3,Yes,,2022-12-17
2022-12-17,Avatar: The Way of Water,2022,https://boxd.it/3xFvCj,3,,,2022-12-17
2022-12-18,The Florida Project,2017,https://boxd.it/3xK0ON,3.5,,,2022-12-17
2022-12-21,11:14,2003,https://boxd.it/3yz3Y9,3.5,,,2022-12-20
2022-12-23,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/3z5PwL,3.5,,,2022-12-22
2022-12-25,Fresh,2022,https://boxd.it/3zXkPP,3.5,,,2022-12-25
2022-12-26,La La Land,2016,https://boxd.it/3zY9Wx,3.5,,,2022-12-25
2022-12-26,In Bruges,2008,https://boxd.it/3A0zjb,4,,,2022-12-25
2022-12-26,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/3A2HYZ,3.5,,,2022-12-25
2022-12-27,The Boy in the Striped Pyjamas,2008,https://boxd.it/3ApQkP,3.5,,,2022-12-26
2022-12-30,The Girl with a Bracelet,2019,https://boxd.it/3ByfOF,3.5,,,2022-12-29
2022-12-30,Predator,1987,https://boxd.it/3BSkRJ,4,,,2022-12-30
2022-12-31,The Royal Tenenbaums,2001,https://boxd.it/3BUIEX,4,,,2022-12-30
2022-12-31,Scott Pilgrim vs. the World,2010,https://boxd.it/3Ch6y9,4,,,2022-12-31
2023-01-01,Begin Again,2013,https://boxd.it/3Cj651,3.5,,,2022-12-31
2023-01-02,A Hero,2021,https://boxd.it/3CHbIP,3.5,,,2023-01-01
2023-01-02,(500) Days of Summer,2009,https://boxd.it/3D4W6z,3.5,,,2023-01-02
2023-01-03,Friends with Benefits,2011,https://boxd.it/3Dp92l,2.5,,,2023-01-03
2023-01-04,The Menu,2022,https://boxd.it/3DU2MN,3.5,,,2023-01-04
2023-01-05,Miracle Mile,1988,https://boxd.it/3DZRlt,3.5,,,2023-01-04
2023-01-05,Chennai 600028,2007,https://boxd.it/3Ek0XL,4,Yes,,2023-01-05
2023-01-08,Triangle of Sadness,2022,https://boxd.it/3F98nN,3.5,,,2023-01-07
2023-01-08,Lady Bird,2017,https://boxd.it/3FahpF,4,,,2023-01-07
2023-01-08,Me and Earl and the Dying Girl,2015,https://boxd.it/3FvYRf,4,,,2023-01-08
2023-01-08,Sound of Metal,2019,https://boxd.it/3FyW2v,4,,,2023-01-08
2023-01-10,Four Lions,2010,https://boxd.it/3GiVuZ,3.5,,,2023-01-10
2023-01-10,Incendies,2010,https://boxd.it/3Gl4bL,4,,,2023-01-10
2023-01-11,Sicario,2015,https://boxd.it/3Go75H,3,,,2023-01-10
2023-01-11,Phantom Thread,2017,https://boxd.it/3GDRmT,4,,,2023-01-11
2023-01-11,Jaws,1975,https://boxd.it/3GFZsp,4.5,,,2023-01-11
2023-01-12,Everything Everywhere All at Once,2022,https://boxd.it/3GZkpf,4,,,2023-01-12
2023-01-13,Searching,2018,https://boxd.it/3H22eT,3.5,,,2023-01-12
2023-01-13,Kiss Kiss Bang Bang,2005,https://boxd.it/3HfShr,4,,,2023-01-13
2023-01-13,Get Out,2017,https://boxd.it/3Hhwax,3.5,,,2023-01-13
2023-01-14,Death at a Funeral,2007,https://boxd.it/3Hi5AF,3.5,,,2023-01-13
2023-01-14,28 Days Later,2002,https://boxd.it/3Hkoal,4,,,2023-01-13
2023-01-14,Nitham Oru Vaanam,2022,https://boxd.it/3HB2vF,3,,,2023-01-14
2023-01-15,Polytechnique,2009,https://boxd.it/3HXshD,3.5,,,2023-01-15
2023-01-15,Seven Psychopaths,2012,https://boxd.it/3HZk7T,4,,,2023-01-15
2023-01-16,RRR,2022,https://boxd.it/3I1Ggd,3,,,2023-01-15
2023-01-18,Vikram,2022,https://boxd.it/3IKL7l,3.5,Yes,,2023-01-17
2023-01-19,A Snake of June,2002,https://boxd.it/3J5SGz,3,,,2023-01-18
2023-01-20,After Hours,1985,https://boxd.it/3JnPhH,4,,,2023-01-19
2023-01-21,The Big Lebowski,1998,https://boxd.it/3JElDH,4,,,2023-01-20
2023-01-21,Scarface,1983,https://boxd.it/3JRTrV,3.5,,,2023-01-21
2023-01-22,Alien,1979,https://boxd.it/3Kc7jV,3.5,,,2023-01-22
2023-01-22,Before Sunset,2004,https://boxd.it/3KdLE7,3,,,2023-01-22
2023-01-23,Lucky Number Slevin,2006,https://boxd.it/3KjVTX,3,,,2023-01-22
2023-01-24,Dead Poets Society,1989,https://boxd.it/3KFHuj,4,,,2023-01-23
2023-01-26,Goodnight Mommy,2014,https://boxd.it/3Lh5dP,2.5,,,2023-01-25
2023-01-26,Lars and the Real Girl,2007,https://boxd.it/3Lt1qJ,3.5,,,2023-01-26
2023-01-26,Aftersun,2022,https://boxd.it/3Lvw2n,3.5,,,2023-01-26
2023-01-27,Blow Out,1981,https://boxd.it/3LA6fb,4,,,2023-01-26
2023-01-28,Moon,2009,https://boxd.it/3LS0xp,3.5,,,2023-01-27
2023-01-28,The Tribe,2014,https://boxd.it/3M6MOB,3.5,,,2023-01-28
2023-01-29,Jaya Jaya Jaya Jaya Hey,2022,https://boxd.it/3M7Sq3,3,,,2023-01-28
2023-01-29,Ex Machina,2015,https://boxd.it/3McxMd,4,,,2023-01-28
2023-01-30,Spencer,2021,https://boxd.it/3Mw9wF,3.5,,,2023-01-29
2023-01-31,Contempt,1963,https://boxd.it/3MUWND,3.5,,,2023-01-30
2023-02-04,Thunivu,2023,https://boxd.it/3O2uPB,3,,,2023-02-04
2023-02-05,Palm Springs,2020,https://boxd.it/3OCnin,3.5,,,2023-02-05
2023-02-06,Submarine,2010,https://boxd.it/3OE9Yt,3.5,,,2023-02-05
2023-02-06,Your Name.,2016,https://boxd.it/3OJuGl,4,,,2023-02-05
2023-02-11,Eraserhead,1977,https://boxd.it/3Q3Tev,4,,,2023-02-10
2023-02-12,The Virgin Suicides,1999,https://boxd.it/3QkGNh,3.5,,,2023-02-11
2023-02-13,The Hand of God,2021,https://boxd.it/3QBWcb,3.5,,,2023-02-12
2023-02-19,Dada,2023,https://boxd.it/3Sdgrt,3,,,2023-02-18
2023-02-20,Dog Day Afternoon,1975,https://boxd.it/3SvTHr,4,,,2023-02-19
2023-02-25,Women Talking,2022,https://boxd.it/3TYmW1,4,,,2023-02-24
2023-02-26,Notting Hill,1999,https://boxd.it/3UuXwt,3.5,,,2023-02-26
2023-02-26,Shaun of the Dead,2004,https://boxd.it/3UuYOD,4,,,2023-02-26
2023-02-27,A History of Violence,2005,https://boxd.it/3UBKy1,3.5,,,2023-02-26
2023-03-04,Cha Cha Real Smooth,2022,https://boxd.it/3W4wXX,3,,,2023-03-04
2023-03-05,Hot Fuzz,2007,https://boxd.it/3W8eXD,4,,,2023-03-04
2023-03-05,Vinnaithaandi Varuvaayaa,2010,https://boxd.it/3WoADR,4,Yes,,2023-03-05
2023-03-16,Five Feet Apart,2019,https://boxd.it/3ZhivN,3,,,2023-03-15
2023-03-18,Signs,2002,https://boxd.it/3ZWBHl,3.5,,,2023-03-18
2023-03-19,21 Grams,2003,https://boxd.it/402Q7p,4,,,2023-03-18
2023-03-19,Blue Jean,2022,https://boxd.it/40fJw9,3.5,,,2023-03-19
2023-03-20,Booksmart,2019,https://boxd.it/40lQTB,3,,,2023-03-19
2023-03-27,John Wick,2014,https://boxd.it/42dFtT,3.5,,,2023-03-26
2023-03-27,Speak,2004,https://boxd.it/42faAj,3.5,,,2023-03-26
2023-03-29,John Wick: Chapter 2,2017,https://boxd.it/42M5vf,3,,,2023-03-28
2023-03-30,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/4310iv,3,,,2023-03-29
2023-03-31,Contagion,2011,https://boxd.it/43eBdN,3.5,,,2023-03-30
2023-04-02,Pichaikkaran,2016,https://boxd.it/43KWkT,3,,,2023-04-01
2023-04-02,The Reader,2008,https://boxd.it/43MxWR,3.5,,,2023-04-02
2023-04-02,Once,2007,https://boxd.it/43NJIf,3.5,,,2023-04-02
2023-04-02,Wild,2014,https://boxd.it/43Pfg5,3,,,2023-04-02
2023-04-02,Shershaah,2021,https://boxd.it/43ZEI9,3,,,2023-04-02
2023-04-02,When Harry Met Sally...,1989,https://boxd.it/440z3n,3.5,,,2023-04-02
2023-04-05,First Reformed,2017,https://boxd.it/44EbIh,4,,,2023-04-04
2023-04-08,The Road,2009,https://boxd.it/45qasN,3.5,,,2023-04-07
2023-04-08,"Love, Rosie",2014,https://boxd.it/45sT3x,3.5,,,2023-04-07
2023-04-08,Tetris,2023,https://boxd.it/45uEAv,3.5,,,2023-04-08
2023-04-08,Gangubai Kathiawadi,2022,https://boxd.it/45G7kj,3,,,2023-04-08
2023-04-08,Y Tu Mamá También,2001,https://boxd.it/45GQhJ,3.5,,,2023-04-08
2023-04-09,Snowpiercer,2013,https://boxd.it/461jpx,3.5,,,2023-04-09
2023-04-10,Rockstar,2011,https://boxd.it/465uv5,3.5,,,2023-04-09
2023-04-12,John Wick: Chapter 4,2023,https://boxd.it/46LPgp,3.5,,,2023-04-11
2023-04-13,The Nice Guys,2016,https://boxd.it/470hO3,3.5,,,2023-04-12
2023-04-16,Udaan,2010,https://boxd.it/47H2UL,4,,,2023-04-15
2023-04-17,Vada Chennai,2018,https://boxd.it/480TsN,4,Yes,,2023-04-16
2023-04-17,Delhi Belly,2011,https://boxd.it/4852sF,3.5,,,2023-04-16
2023-04-19,Annihilation,2018,https://boxd.it/48AAIz,3.5,,,2023-04-18
2023-04-19,Princess Cyd,2017,https://boxd.it/48BoIJ,3,,,2023-04-18
2023-04-22,Blue Valentine,2010,https://boxd.it/49j0EV,3.5,,,2023-04-22
2023-04-22,Suzume,2022,https://boxd.it/49uuc5,3.5,,,2023-04-22
2023-04-25,Badlands,1973,https://boxd.it/4a9ENH,3.5,,,2023-04-24
2023-04-29,Ponniyin Selvan: Part II,2023,https://boxd.it/4b8851,3,,,2023-04-28
2023-05-06,Wind River,2017,https://boxd.it/4diXsX,3.5,,,2023-05-06
2023-05-06,13 Going on 30,2004,https://boxd.it/4djGXh,3.5,,,2023-05-06
2023-05-13,But I'm a Cheerleader,1999,https://boxd.it/4f1Vvz,3.5,,,2023-05-13
2023-05-14,Charlie,2015,https://boxd.it/4fiC6f,3.5,Yes,,2023-05-14
2023-05-16,The Perks of Being a Wallflower,2012,https://boxd.it/4fCyAb,3.5,,,2023-05-15
2023-05-21,5 Centimeters per Second,2007,https://boxd.it/4gXQC1,3.5,,,2023-05-21
