Date,Name,Year,Letterboxd URI,Rating
2022-09-01,American Psycho,2000,https://boxd.it/28Vs,4
2022-09-03,Thiruchitrambalam,2022,https://boxd.it/wptK,3.5
2022-09-04,Gulu Gulu,2022,https://boxd.it/AyUS,3
2022-09-07,Maanaadu,2021,https://boxd.it/ju24,3.5
2022-09-18,D Block,2022,https://boxd.it/wGv4,2.5
2022-09-27,Bullet Train,2022,https://boxd.it/qW26,3.5
2022-09-28,Vendhu Thanindhathu Kaadu,2022,https://boxd.it/u8ki,3.5
2022-10-02,Cobra,2022,https://boxd.it/tPXq,2.5
2022-10-02,Malena,2000,https://boxd.it/1Vc0,3.5
2022-10-02,Naane Varuvean,2022,https://boxd.it/txW0,3.5
2022-10-03,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-10-04,X+Y,2014,https://boxd.it/8uC0,3.5
2022-10-05,Ponniyin Selvan: Part I,2022,https://boxd.it/oz24,3
2022-10-09,One Cut of the Dead,2017,https://boxd.it/iAFu,4
2022-10-09,Dogtooth,2009,https://boxd.it/158K,3.5
2022-10-14,The Bow,2005,https://boxd.it/27Ky,3.5
2022-10-14,Speak No Evil,2022,https://boxd.it/vqlg,3
2022-10-16,Sita Ramam,2022,https://boxd.it/xO2c,3.5
2022-10-19,[REC],2007,https://boxd.it/20ma,3.5
2022-10-30,Babel,2006,https://boxd.it/292o,3.5
2022-11-10,Collateral,2004,https://boxd.it/28F0,3.5
2022-11-13,Sardar,2022,https://boxd.it/wpuI,3
2022-11-18,Prey,2022,https://boxd.it/sNBU,3.5
2022-11-19,Love Today,2022,https://boxd.it/D3KI,2.5
2022-11-20,Good Will Hunting,1997,https://boxd.it/2ahY,3.5
2022-11-22,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2022-11-23,Silver Linings Playbook,2012,https://boxd.it/2TTo,3.5
2022-11-29,Natchathiram Nagargiradhu,2022,https://boxd.it/wkx8,3.5
2022-11-30,Titanic,1997,https://boxd.it/2a2k,3.5
2022-11-30,Donnie Darko,2001,https://boxd.it/2b2A,3.5
2022-12-01,Nope,2022,https://boxd.it/sDCe,4
2022-12-01,127 Hours,2010,https://boxd.it/SLa,3
2022-12-03,Psycho,1960,https://boxd.it/2ab2,4
2022-12-04,3-Iron,2004,https://boxd.it/28WK,4
2022-12-09,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,3
2022-12-10,Castaway on the Moon,2009,https://boxd.it/1GXU,3.5
2022-12-12,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3.5
2022-12-13,Before Sunrise,1995,https://boxd.it/2bcU,3.5
2022-12-17,Parched,2015,https://boxd.it/bQii,3.5
2022-12-17,Avatar,2009,https://boxd.it/1Efm,3
2022-12-17,Avatar: The Way of Water,2022,https://boxd.it/2E2E,3
2022-12-18,The Florida Project,2017,https://boxd.it/dMG0,3.5
2022-12-21,11:14,2003,https://boxd.it/1Z4E,3.5
2022-12-23,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3.5
2022-12-25,Fresh,2022,https://boxd.it/tCNi,3.5
2022-12-26,La La Land,2016,https://boxd.it/a5fa,3.5
2022-12-26,In Bruges,2008,https://boxd.it/20n8,4
2022-12-26,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,3.5
2022-12-27,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,3.5
2022-12-30,The Girl with a Bracelet,2019,https://boxd.it/lqS0,3.5
2022-12-30,Predator,1987,https://boxd.it/2b84,4
2022-12-31,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2022-12-31,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2023-01-01,Begin Again,2013,https://boxd.it/5Ybs,3.5
2023-01-02,A Hero,2021,https://boxd.it/p2zw,3.5
2023-01-02,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2023-01-03,Friends with Benefits,2011,https://boxd.it/DoK,2.5
2023-01-04,The Menu,2022,https://boxd.it/lScm,3.5
2023-01-05,Miracle Mile,1988,https://boxd.it/1x68,3.5
2023-01-05,Chennai 600028,2007,https://boxd.it/2EDA,4
2023-01-08,Triangle of Sadness,2022,https://boxd.it/hXlq,3.5
2023-01-08,Lady Bird,2017,https://boxd.it/dGNE,4
2023-01-08,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,4
2023-01-08,Sound of Metal,2019,https://boxd.it/i7Q4,4
2023-01-10,Four Lions,2010,https://boxd.it/18do,3.5
2023-01-10,Incendies,2010,https://boxd.it/Msm,4
2023-01-11,Sicario,2015,https://boxd.it/8i7u,3
2023-01-11,Phantom Thread,2017,https://boxd.it/e4uc,4
2023-01-11,Jaws,1975,https://boxd.it/2a5e,4.5
2023-01-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2023-01-13,Searching,2018,https://boxd.it/hDPg,3.5
2023-01-13,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,4
2023-01-13,Get Out,2017,https://boxd.it/eOCm,3.5
2023-01-14,Death at a Funeral,2007,https://boxd.it/27dO,3.5
2023-01-14,28 Days Later,2002,https://boxd.it/2aXU,4
2023-01-14,Nitham Oru Vaanam,2022,https://boxd.it/lchO,3
2023-01-15,Polytechnique,2009,https://boxd.it/1AMG,3.5
2023-01-15,Seven Psychopaths,2012,https://boxd.it/34PW,4
2023-01-16,RRR,2022,https://boxd.it/ljDs,3
2023-01-18,Vikram,2022,https://boxd.it/rUJa,3.5
2023-01-19,A Snake of June,2002,https://boxd.it/1fuQ,3
2023-01-20,After Hours,1985,https://boxd.it/1VfS,4
2023-01-21,The Big Lebowski,1998,https://boxd.it/2b6C,4
2023-01-21,Scarface,1983,https://boxd.it/2b7g,3.5
2023-01-22,Alien,1979,https://boxd.it/2awY,3.5
2023-01-22,Before Sunset,2004,https://boxd.it/2bcg,3
2023-01-23,Lucky Number Slevin,2006,https://boxd.it/2aVu,3
2023-01-24,Dead Poets Society,1989,https://boxd.it/2aSg,4
2023-01-26,Goodnight Mommy,2014,https://boxd.it/8Niy,2.5
2023-01-26,Lars and the Real Girl,2007,https://boxd.it/21tG,3.5
2023-01-27,Blow Out,1981,https://boxd.it/1TlE,4
2023-01-28,Moon,2009,https://boxd.it/1IGQ,3.5
2023-01-28,The Tribe,2014,https://boxd.it/8aqe,3.5
2023-01-29,Jaya Jaya Jaya Jaya Hey,2022,https://boxd.it/z60K,3
2023-01-29,Ex Machina,2015,https://boxd.it/7T2k,4
2023-01-30,Spencer,2021,https://boxd.it/qPMG,3.5
2023-01-31,Contempt,1963,https://boxd.it/2aJe,3.5
2023-02-04,Thunivu,2023,https://boxd.it/y85g,3
2023-02-05,Palm Springs,2020,https://boxd.it/lCXQ,3.5
2023-02-06,Submarine,2010,https://boxd.it/H4a,3.5
2023-02-06,Your Name.,2016,https://boxd.it/cUqs,4
2023-02-11,Eraserhead,1977,https://boxd.it/299u,4
2023-02-12,The Virgin Suicides,1999,https://boxd.it/28JG,3.5
2023-02-13,The Hand of God,2021,https://boxd.it/r5uI,3.5
2023-02-19,Dada,2023,https://boxd.it/AtFy,3
2023-02-20,Dog Day Afternoon,1975,https://boxd.it/29bg,4
2023-02-25,Women Talking,2022,https://boxd.it/tdq4,4
2023-02-26,Notting Hill,1999,https://boxd.it/2aeK,3.5
2023-02-26,Shaun of the Dead,2004,https://boxd.it/29J8,4
2023-02-27,A History of Violence,2005,https://boxd.it/2bfa,3.5
2023-03-04,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,3
2023-03-05,Hot Fuzz,2007,https://boxd.it/2416,4
2023-03-05,Vinnaithaandi Varuvaayaa,2010,https://boxd.it/1796,4
2023-03-16,Five Feet Apart,2019,https://boxd.it/jaAK,3
2023-03-18,Signs,2002,https://boxd.it/26t2,3.5
2023-03-19,21 Grams,2003,https://boxd.it/2ajK,4
2023-03-19,Blue Jean,2022,https://boxd.it/AHhg,3.5
2023-03-20,Booksmart,2019,https://boxd.it/igNS,3
2023-03-27,John Wick,2014,https://boxd.it/7dEc,3.5
2023-03-27,Speak,2004,https://boxd.it/1MTO,3.5
2023-03-29,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3
2023-03-30,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3
2023-03-31,Contagion,2011,https://boxd.it/13rq,3.5
2023-04-02,Pichaikkaran,2016,https://boxd.it/dkw2,3
2023-04-02,The Reader,2008,https://boxd.it/20Dq,3.5
2023-04-02,Once,2007,https://boxd.it/22GG,3.5
2023-04-02,Wild,2014,https://boxd.it/6KQo,3
2023-04-02,Shershaah,2021,https://boxd.it/m860,3
2023-04-02,When Harry Met Sally...,1989,https://boxd.it/29W2,3.5
2023-04-05,First Reformed,2017,https://boxd.it/go9C,4
2023-04-08,The Road,2009,https://boxd.it/1CWI,3.5
2023-04-08,"Love, Rosie",2014,https://boxd.it/62hE,3.5
2023-04-08,Tetris,2023,https://boxd.it/rePK,3.5
2023-04-08,Gangubai Kathiawadi,2022,https://boxd.it/oJek,3
2023-04-08,Y Tu Mamá También,2001,https://boxd.it/28QM,3.5
2023-04-09,Snowpiercer,2013,https://boxd.it/3Icg,3.5
2023-04-10,Rockstar,2011,https://boxd.it/2Lvo,3.5
2023-04-12,John Wick: Chapter 4,2023,https://boxd.it/mh48,3.5
2023-04-13,The Nice Guys,2016,https://boxd.it/94Hg,3.5
2023-04-16,Udaan,2010,https://boxd.it/PPe,4
2023-04-17,Vada Chennai,2018,https://boxd.it/esfK,4
2023-04-17,Delhi Belly,2011,https://boxd.it/2gEk,3.5
2023-04-19,Annihilation,2018,https://boxd.it/9yzm,3.5
2023-04-19,Princess Cyd,2017,https://boxd.it/gewQ,3
2023-04-22,Blue Valentine,2010,https://boxd.it/MxG,3.5
2023-04-22,Suzume,2022,https://boxd.it/yv7Y,3.5
2023-04-25,Badlands,1973,https://boxd.it/25Fm,3.5
2023-04-29,Ponniyin Selvan: Part II,2023,https://boxd.it/wpuS,3
2023-05-06,Wind River,2017,https://boxd.it/dR3i,3.5
2023-05-06,13 Going on 30,2004,https://boxd.it/1X6e,3.5
2023-05-13,But I'm a Cheerleader,1999,https://boxd.it/1CW4,3.5
2023-05-14,Charlie,2015,https://boxd.it/cV5q,3.5
