Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-01-24,Dead Poets Society,1989,https://boxd.it/3KFHuj,4,,"Want to get a girl?
Say ""Dead poets Honour""

Want to get a bullet
Be in ""Dead Poets Society",,2023-01-23
2023-01-26,Lars and the Real Girl,2007,https://boxd.it/3Lt1qJ,3.5,,Lars with his doll where the purpose of using that doll is not done except that last kiss...,,2023-01-26
2023-01-26,Aftersun,2022,https://boxd.it/3Lvw2n,3.5,,The little mind camera....NICE !!!,,2023-01-26
2023-01-27,Blow Out,1981,https://boxd.it/3LA6fb,4,,"<i>It is a scream...
It is a scream...
</i><i>It is a scream...
</i>",,2023-01-26
2023-01-28,Moon,2009,https://boxd.it/3LS0xp,3.5,,Hmmm.... different kind of sci fi film .. loved it,,2023-01-27
2023-01-28,The Tribe,2014,https://boxd.it/3M6MOB,3.5,,"This film is in sign language
There are no translations, no subtitles, no voice over...
Yet a SOUND film...",,2023-01-28
2023-01-29,Ex Machina,2015,https://boxd.it/3McxMd,4,,"...
The use of pornography history....hats off Nathan
...
And Ava, a great witch",,2023-01-28
2023-01-30,Spencer,2021,https://boxd.it/3Mw9wF,3.5,,"| Beauty is useless
| Beauty is clothing

SPENCER",,2023-01-29
2023-01-31,Contempt,1963,https://boxd.it/3MUWND,3.5,,"""Why don't you love me anymore?""
""That's life...""

❤️",,2023-01-30
2023-02-05,Palm Springs,2020,https://boxd.it/3OCnin,3.5,,"Yesterday is today
Today is today
And
Tomorrow is today


Wish I am in that damn black box...",,2023-02-05
2023-02-06,Submarine,2010,https://boxd.it/3OE9Yt,3.5,,"I'm basically kind of person who want to isolate myself and get other people's attention too....

So, this movie will be in my ""literally me"" list",,2023-02-05
2023-02-06,Your Name.,2016,https://boxd.it/3OJuGl,4,,I must own that braided cord...,,2023-02-05
2023-02-11,Eraserhead,1977,https://boxd.it/3Q3Tev,4,,Just wow,,2023-02-10
2023-02-20,Dog Day Afternoon,1975,https://boxd.it/3SvTHr,4,,One of the best heist movie...,,2023-02-19
2023-02-25,Women Talking,2022,https://boxd.it/3TYmW1,4,,"A good watch....
Women talking and I'm listening...",,2023-02-24
