Date,Name,Year,Letterboxd URI
2021-11-18,The Innocent,2021,https://boxd.it/v69a
2022-01-12,Mystic River,2003,https://boxd.it/2aAG
2022-01-15,No Country for Old Men,2007,https://boxd.it/21ew
2022-01-15,Maanaadu,2021,https://boxd.it/ju24
2022-01-15,The Invisible Guest,2016,https://boxd.it/euce
2022-01-18,Hey Ram,2000,https://boxd.it/fGg
2022-01-18,Vishwaroopam,2013,https://boxd.it/3U0c
2022-01-18,Ratsasan,2018,https://boxd.it/eyFu
2022-01-18,The Host,2006,https://boxd.it/28ZY
2022-01-18,Parasite,2019,https://boxd.it/hTha
2022-01-18,Se7en,1995,https://boxd.it/29zs
2022-01-18,The Departed,2006,https://boxd.it/28MA
2022-01-18,Vinnaithaandi Varuvaayaa,2010,https://boxd.it/1796
2022-01-18,Slumdog Millionaire,2008,https://boxd.it/1S3E
2022-01-18,Shutter Island,2010,https://boxd.it/1U82
2022-01-18,Newton,2017,https://boxd.it/fBbO
2022-01-18,Andhadhun,2018,https://boxd.it/jtfc
2022-01-18,Andhaghaaram,2020,https://boxd.it/swim
2022-01-18,Soorarai Pottru,2020,https://boxd.it/lWrq
2022-01-18,The Great Indian Kitchen,2021,https://boxd.it/tyqO
2022-01-18,Alaipayuthey,2000,https://boxd.it/H1U
2022-01-18,Thalapathi,1991,https://boxd.it/1mDg
2022-01-18,Kannathil Muthamittal,2002,https://boxd.it/10qu
2022-01-18,Jigarthanda,2014,https://boxd.it/88Je
2022-01-18,A Quiet Place,2018,https://boxd.it/fVJQ
2022-01-18,Vada Chennai,2018,https://boxd.it/esfK
2022-01-18,Asuran,2019,https://boxd.it/lbR2
2022-01-18,Kaithi,2019,https://boxd.it/lBLY
2022-01-18,Aaranya Kaandam,2011,https://boxd.it/3Xc6
2022-01-18,Super Deluxe,2019,https://boxd.it/fjRW
2022-01-18,Psycho,2020,https://boxd.it/nREe
2022-01-18,Vaazhl,2021,https://boxd.it/mNbq
2022-01-18,Aruvi,2016,https://boxd.it/eYdQ
2022-01-18,Sarpatta Parambarai,2021,https://boxd.it/tX36
2022-01-18,Madras,2014,https://boxd.it/8Eu6
2022-01-18,Kaala,2018,https://boxd.it/gp6O
2022-01-18,Mandela,2021,https://boxd.it/ulX8
2022-01-18,Aayirathil Oruvan,2010,https://boxd.it/2hP4
2022-01-18,Apoorva Sagodharargal,1989,https://boxd.it/8pi
2022-01-18,Michael Madana Kama Rajan,1990,https://boxd.it/1O5c
2022-01-18,Panchatanthiram,2002,https://boxd.it/H2e
2022-01-18,Anbe Sivam,2003,https://boxd.it/1sU8
2022-01-18,Game Over,2019,https://boxd.it/kevw
2022-01-18,Vaaranam Aayiram,2008,https://boxd.it/15yo
